source,target,label
wd:Q81685,wd:Q273570,Scolarité
wd:Q93897,wd:Q273570,Scolarité
wd:Q123921,wd:Q273570,Scolarité
wd:Q124245,wd:Q273570,Scolarité
wd:Q129155,wd:Q273570,Scolarité
wd:Q129228,wd:Q273570,Scolarité
wd:Q137599,wd:Q273570,Scolarité
wd:Q153622,wd:Q273570,Scolarité
wd:Q199985,wd:Q273570,Scolarité
wd:Q207359,wd:Q273570,Scolarité
wd:Q221775,wd:Q273570,Scolarité
wd:Q272189,wd:Q273570,Scolarité
wd:Q286485,wd:Q273570,Scolarité
wd:Q287175,wd:Q273570,Scolarité
wd:Q318468,wd:Q273570,Scolarité
wd:Q328607,wd:Q273570,Scolarité
wd:Q334970,wd:Q273570,Scolarité
wd:Q340222,wd:Q273570,Scolarité
wd:Q365708,wd:Q273570,Scolarité
wd:Q384651,wd:Q273570,Scolarité
wd:Q447581,wd:Q273570,Scolarité
wd:Q462364,wd:Q273570,Scolarité
wd:Q481453,wd:Q273570,Scolarité
wd:Q514741,wd:Q273570,Scolarité
wd:Q517743,wd:Q273570,Scolarité
wd:Q541418,wd:Q273570,Scolarité
wd:Q549841,wd:Q273570,Scolarité
wd:Q550206,wd:Q273570,Scolarité
wd:Q551316,wd:Q273570,Scolarité
wd:Q568626,wd:Q273570,Scolarité
wd:Q586624,wd:Q273570,Scolarité
wd:Q587038,wd:Q273570,Scolarité
wd:Q634282,wd:Q273570,Scolarité
wd:Q650194,wd:Q273570,Scolarité
wd:Q663533,wd:Q273570,Scolarité
wd:Q664914,wd:Q273570,Scolarité
wd:Q673718,wd:Q273570,Scolarité
wd:Q700638,wd:Q273570,Scolarité
wd:Q719696,wd:Q273570,Scolarité
wd:Q743493,wd:Q273570,Scolarité
wd:Q766823,wd:Q273570,Scolarité
wd:Q830540,wd:Q273570,Scolarité
wd:Q867952,wd:Q273570,Scolarité
wd:Q922350,wd:Q273570,Scolarité
wd:Q956253,wd:Q273570,Scolarité
wd:Q978749,wd:Q273570,Scolarité
wd:Q1004154,wd:Q273570,Scolarité
wd:Q1063760,wd:Q273570,Scolarité
wd:Q1063803,wd:Q273570,Scolarité
wd:Q1080053,wd:Q273570,Scolarité
wd:Q1102766,wd:Q273570,Scolarité
wd:Q1216036,wd:Q273570,Scolarité
wd:Q1219531,wd:Q273570,Scolarité
wd:Q1223382,wd:Q273570,Scolarité
wd:Q1245518,wd:Q273570,Scolarité
wd:Q1285720,wd:Q273570,Scolarité
wd:Q1292864,wd:Q273570,Scolarité
wd:Q1330059,wd:Q273570,Scolarité
wd:Q1338383,wd:Q273570,Scolarité
wd:Q1441778,wd:Q273570,Scolarité
wd:Q1445752,wd:Q273570,Scolarité
wd:Q1451057,wd:Q273570,Scolarité
wd:Q1490053,wd:Q273570,Scolarité
wd:Q1495297,wd:Q273570,Scolarité
wd:Q1495584,wd:Q273570,Scolarité
wd:Q1507000,wd:Q273570,Scolarité
wd:Q1531112,wd:Q273570,Scolarité
wd:Q1556706,wd:Q273570,Scolarité
wd:Q1684718,wd:Q273570,Scolarité
wd:Q1685807,wd:Q273570,Scolarité
wd:Q1749718,wd:Q273570,Scolarité
wd:Q1870426,wd:Q273570,Scolarité
wd:Q1879402,wd:Q273570,Scolarité
wd:Q1892960,wd:Q273570,Scolarité
wd:Q1960293,wd:Q273570,Scolarité
wd:Q2087636,wd:Q273570,Scolarité
wd:Q2093274,wd:Q273570,Scolarité
wd:Q2134088,wd:Q273570,Scolarité
wd:Q2156245,wd:Q273570,Scolarité
wd:Q2206419,wd:Q273570,Scolarité
wd:Q2356118,wd:Q273570,Scolarité
wd:Q2364458,wd:Q273570,Scolarité
wd:Q2375072,wd:Q273570,Scolarité
wd:Q2375867,wd:Q273570,Scolarité
