id,label
wd:Q8327414,Robert Avezou
wd:Q35250596,Michel Le Grand
wd:Q34838434,Joseph Souchon
wd:Q20011871,Joseph Couraye du Parc
wd:Q28859818,Blaise Ducos
wd:Q3174316,Jean Richard
wd:Q3093772,Gabriel Henriot
wd:Q3119691,Guillaume Bodinier
wd:Q3427057,René de Lespinasse
wd:Q28723376,Alice Garrigoux
wd:Q20851391,Jacques Meurgey de Tupigny
wd:Q3035233,Dominique Jamet
wd:Q27914575,Léon Maupillé
wd:Q3579189,Édith Thomas
wd:Q1664768,IRHT
wd:Q18509073,Hippolyte Cocheris
wd:Q34802691,Léon Lecestre
wd:Q587038,Antoine Thomas
wd:Q2375867,Pierre Verlet
wd:Q28548090,Christophe Gauthier
wd:Q2636438,Alain Guerreau
wd:Q1495584,Gaston Monod
wd:Q16025779,Alfred Giraud
wd:Q663533,Ferdinand Chalandon
wd:Q3455802,Régis de Saint-Jouan
wd:Q16679905,Thierry Crépin-Leblond
wd:Q3479345,Serge Gruzinski
wd:Q2851241,Anne Pingeot
wd:Q2835035,Alfred Coville
wd:Q3142496,Hugues-Jean de Dianous
wd:Q1102766,Clovis Brunel
wd:Q700638,Eugène Burnouf
wd:Q3185514,Joseph Poux
wd:Q3092455,Félix Grat
wd:Q1451057,François Guessard
wd:Q1285720,Edmond Pognon
wd:Q3100588,Geneviève Aclocque
wd:Q860169,Charles Athanase Walckenaer
wd:Q2861952,Armand Rendu
wd:Q3121174,Gustave Dupont-Ferrier
wd:Q1216036,Paul Viollet
wd:Q16267257,Élisabeth Gautier-Desvaux
wd:Q3265273,Lucie Favier
wd:Q1495297,Jules Guiffrey
wd:Q34029797,André Salmon
wd:Q2855774,François Avril
wd:Q1531112,Robert Bossuat
wd:Q17626172,Édouard Le Danois
wd:Q1684718,Jean-Charles Roman d'Amat
wd:Q3269422,Léon de Laborde
wd:Q20203356,Maxime Auguste-Vitu
wd:Q4282498,Henry Marie Radegonde Martin
wd:Q1004154,Frédéric Barbier
wd:Q318468,Abel Lefranc
wd:Q1507000,George Flahiff
wd:Q34796613,Auguste Giraudin
wd:Q3573504,Yves Bottineau
wd:Q2850820,Anne-Marie Bertrand
wd:Q3218744,Laure Beaumont-Maillet
wd:Q3130487,Henri Affre
wd:Q3292118,Marie-Madeleine Martin
wd:Q29862605,Jean-Jacques Rioult
wd:Q42014684,François Cousin
wd:Q3188917,Jules Soury
wd:Q3173244,Jean Longnon
wd:Q481453,Léopold Delisle
wd:Q11983324,Lars Otto Grundt
