id	label	relation	in	label_relation	label_in
wd:Q81685	François Mauriac	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q93897	Jacques Boulenger	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q123921	Alfred Métraux	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q124245	Jean-François Bergier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q129155	Roger Martin du Gard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q129228	René Girard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q137599	Marianne Mulon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q153622	Antoine Dareste de La Chavanne	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q199985	Arthur de La Borderie	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q207359	Georges Bataille	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q221775	Norbert Dufourcq	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q272189	Régine Pernoud	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q286485	Léon Gautier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q287175	Éphraïm Mikhaël	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q318468	Abel Lefranc	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q328607	Auguste Poulet-Malassis	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q334970	José-Maria de Heredia	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q340222	Achille Jubinal	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q365708	Adolphe Cohn	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q384651	Ernest Langlois	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q447581	Marcel Aubert	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q462364	Gustave Kahn	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q481453	Léopold Delisle	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q514741	Gaston Paris	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q517743	André Chamson	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q541418	Alfred Morel-Fatio	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q549841	Jean Favier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q550206	Joseph Calmette	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q551316	Henri Brincard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q568626	Augustin Cochin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q586624	Antoine Le Roux de Lincy	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q587038	Antoine Thomas	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q634282	Louis Halphen	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q650194	Ngo Dinh Nhu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q663533	Ferdinand Chalandon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q664914	Jacques Monfrin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q673718	Rémi Mathis	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q700638	Eugène Burnouf	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q719696	Ferdinand Lot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q743493	Siméon Luce	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
